,stage_name,gender,role_type,real_name
0,Willie Aames,M,RU:,William Aames
1,Bud Abbott,M,R:straight,William Abbott
2,Diahnne Abbott,F,R:sexy,
3,George Abbott,M,"R:playwright, producer",George Abbott
4,John Abbott,M,"R:staring eyes, eccentric parts",John Abbott
5,Philip Abbott,M,R:second lead,Philip Abbott
6,Kareem AbdulJabbar,M,R:basketball player,
7,Walter Abel,M,R:harrassed hero,Walter Abel
8,F.Murray Abraham,M,RU:,
9,James Abrahams,M,RU:,
10,Maury Abram,,RU:,
11,Victoria Abril,F,R:sexy,
12,Joss Ackland,M,R:larger-than-life personality,Joss Ackland
13,Dan Ackroyd,M,R:comic,Dan Ackroyd
14,David Ackroyd,M,RU:,
15,Peter Ackroyd,M,RU:,
16,Rodolfo Acosta,M,R:cold-eyed,Rodolfo Acosta
17,Eddie Acuff,M,R:supporting comedian,Eddie Acuff
18,Jean Adair,F,R:sweet aunt,Jean Adair
19,Alfred Adam,M,"R:weak, villainous",Alfred Adam
20,Ronald Adam,M,"R:well-bred, stuffy professional",Ronald Adam
21,John Adames,M,RU:,
22,Beverly Adams,F,R:lead,Beverly Adams
23,Brooke Adams,F,R:laid-back,Brooke Adams
24,Catlin Adams,,RU:,Catlin Barab
25,Dorothy Adams,F,R:timorous sullen,Dorothy Adams
26,Edie Adams,F,R:pert comedienne,Elizabeth Edith Enke
27,Jane Adams,F,RU:,Jane Adams
28,Jill Adams,F,R:pert light lead,Julia Adams
29,Julie Adams,F,R:soft,\S{Betty May (Julia) Adams
30,Maud Adams,F,R:lead,Maude Wikstrom
31,Nick Adams,M,R:neurotic aggressive lead,Nicholas Adamschock
32,Robert Adams,M,R:black,Robert Adams
33,Sam Adams,M,R:comic,
34,Tome Adams,M,R:burly,Tome Adams
35,Dawn Addams,F,"R:smart, glamorous",Dawn Addams
36,Wesley Addy,M,"R:humourless, sinister",Wesley Addy
37,Isabelle Adjani,F,R:lead,Isabelle Adjani
38,Jay Adler,M,R:character,Jay Adler
39,Luther Adler,M,R:heavy,Lutha Adler
40,Renee Adoree,F,R:exotic,Jeanne de la Font\`e
41,Mario Adorf,M,R:European films,Mario Adorf
42,Max Adrian,M,R:high camp personality,Max Bor
43,John Agar,M,R:lead,John Agar
44,Rati Agnihotri,F,R:modern dancer,fn bn
45,Jenny Agutter,F,R:lead,Jenny Agutter
46,Brian Aherne,M,R:gentle lead,Brian Aherne
47,Philip Ahn,M,R:Asiatic,Philip Ahn
48,Anouk Aim\'ee,F,R:poised heartthrob,Fran{\c}coise Sorya Dreyfus
49,Richard Ainley,M,RU:,Richard Ainley
50,Maria Aitkins,F,RU:,
51,Franklyn Ajaye,M,RU:,
52,Muriel Aked,F,"R:comedy spinster, gossip",Muriel Aked
53,Claude Akins,M,"R:western villain, burly middle-aged hero",Claude Akins
54,Serap Aksoy,F,R:sr,Serap Aksoy
55,Josh Albee,M,RU:,
56,Anna Maria Alberghetti,F,R:singer,Anna Maria Alberghetti
57,Han Albers,M,R:lead,Han Albers
58,Eddie Albert,M,R:honest Joe,Eddie Albert Heimberger
59,Edward Albert,M,R:light,Edward Albert
60,Edward Albert~jr.,M,RU:,
61,William Albert,M,RU:,
62,Frank Albertson,M,R:straight,Frank Albertson
63,Jack Albertson,M,R:character,Jack Albertson
64,Mabel Albertson,F,"R:nosey neighbour, wise and witty grandma",Mabel Albertson
65,Hardie Albright,M,R:underused lead,Hardy Albrecht
66,Lola Albright,F,"R:stylish, tough-talking",Lola Albright
67,Alan Alda,M,R:lead,Alan Alda
68,Robert Alda,M,RU:,Alphonso d'Abruzzo
69,Rutanya Alda,F,R:},
70,John Alderton,M,R:light lead,John Alderton
71,Vera Alentova,F,RU:,
72,Ben Alexander,M,R:boy actor,Nicholas Benton Alexander
73,Jane Alexander,F,R:regal,Jane Quigley
74,John Alexander,M,R:portly,John Alexander
75,Katherine Alexander,F,R:sympathetic,Katherine Alexander
76,Ross Alexander,M,R:lead,Ross Alexander
77,Sandy Alexander,,RU:,
78,Terence Alexander,M,R:ineffectual,Terence Alexander
79,Hope AlexanderWells,F,RU:,
80,Muhammed Ali,M,RU:,Cassius Clay
81,Dorothy Alison,F,RU:,Dorothy Alison
82,Andrea Allan,F,RU:,
83,Elizabeth Allan,F,R:delicate or aristocratic heroines,Elizabeth Allan
84,William Alland,M,R:enquiring reporter,William Alland
85,Chesney Allen,M,R:light comedian,Chesney Allen
86,Catherine Allegret,F,RU:,
87,Elizabeth Allen,F,R:lead,Elizabeth Gillease
88,Fred Allen,M,R:lead,John F. Sullivan
89,Gracie Allen,F,R:scatterbrained comedienne,Gracie Allen
90,Karen Allen,F,R:lead,Karen Allen
91,Nancy Allen,F,R:lead,Nancy Allen
92,Patrick Allen,M,R:lead,Patrick Allen
93,Rae Allen,,RU:,
94,Steve Allen,M,R:dry comic,Steve Allen
95,Woody Allen,M,R:confused innocent,Allen Stewart Konigsberg
96,Joseph Allen~jr.,M,RU:,
97,Kirstie Alley,F,R:spunky,Kirstie Alley
98,Sara Allgood,F,R:amiable,Sara Allgood
99,Claud Allister,M,R:silly monocled,Claud Palmer
100,Astrid Allwyn,F,R:lead,Astrid Allwyn
101,June Allyson,F,R:tomboy tease,Ella Geisman
102,Pedro Almodovar,M,R:wild,Pedro Almodovar
103,Maria Conchita Alonso,F,RU:,
104,Corinne Alphen,F,R:beauty,
105,Kirk Alyn,M,R:lead,Kirk Alyn
106,Betty Amann,F,RU:,
107,Leonora Amar,F,RU:,
108,Don Ameche,M,R:pleasant hero,Dominic Felix Amici
109,Lucio Amelio,M,RU:,
110,Leon Ames,1903,"R:harassed or kindly father, suave professional man",Leon Wycoff
111,Ramsay Ames,F,R:lead,Ramsay Philips
112,Suzy Amis,F,R:handsome,Suzy Amis
113,John Amos,M,RU:,
114,John Amplas,M,RU:,
115,Dev Anand,M,R:hero,fn bn
116,Glenn Anders,M,R:sinister,Glenn Anders
117,Luana Anders,F,R:lead,Luana Anders
118,Merry Anders,F,R:light lead,Merry Anders
119,Bridgette Andersen,F,RU:,
120,Bibi Anderson,M,R:transvestite,
121,E. Erich Anderson,M,RU:,
122,Rochester,M,R:black comedian,Eddie Anderson
123,G.M. Anderson,M,R:cowboy,Max Aronson
124,Harriet Anderson,F,R:nude villain,Harriet Anderson
125,Herbert Anderson,M,R:mild-mannered,Herbert Anderson
126,Ingrid Anderson,F,RU:,
127,Jean Anderson,F,"R:sympathetic nurse, tired mother, spinster aunt",Jean Anderson
128,John Anderson,M,"R:Tall, thin, pale-eyed",John Anderson
129,Judith Anderson,F,R:icy presence,Dame Frances Margaret Anderson
130,Lindsay Anderson,M,RU:,Lindsay Anderson
131,Loni Anderson,F,R:sexy blonde,Loni Anderson
132,Mary Anderson,F,R:supporting,Mary Anderson
133,Melissa Sue Anderson,F,RU:,
134,Michael Anderson~jr.,M,R:juvenile lead,Michael Anderson
135,Richard Anderson,M,R:thoughtful-looking,Richard Anderson
136,Rona Anderson,F,RU:,Rona Anderson
137,Warner Anderson,M,"R:solid presence, no outstanding personality",Warner Anderson
138,Bibi Andersson,F,RU:,Bibi Andersson
139,Harriet Andersson,F,RU:,Harriet Andersson
140,Carole Andre,F,RU:,
141,Gabe Andre,,RU:,
142,Fr\'ed\'ric Andrei,M,RU:,
143,Ursula Andress,F,R:sex bomb,Andress Ursula
144,Anthony Andrews,M,R:lead,Anthony Andrews
145,Brian Andrews,M,RU:,
146,Dana Andrews,M,R:hard,Carver Daniel Andrews
147,Eamonn Andrews,M,RU:,\'Eamonn Andrews
148,Edward Andrews,M,"R:beaming, bespectacled",Edward Andrews
149,Harry Andrews,M,R:tough,Harry Andrews
150,Julie Andrews,F,R:wholesome singer,Julia Wells
151,The Andrews Sisters,G,RU:,"Andrews Patty, Maxine, Laverne"
152,Stanley Andrews,M,R:grizzled western veteran,Stanley Andrews
153,Heather Angel,F,R:lead,Heather Angel
154,Pier Angeli,F,R:sensitive,Anna Maria Pierangeli
155,The Hells Angels,G,RU:,
156,Maya Angelou,F,R:poet,Maya Angelou
157,Muriel Angelus,F,R:lead,M.A. Findlay
158,Ivy Angustain,F,RU:,
159,Evelyn Ankers,F,"R:looked decorative, well-bred heroine",Evelyn Ankers
160,Morris Ankrum,M,"R:lawyer, judge, Western villain",Stephen Morris
161,Francesca Annis,F,R:lead,Francesca Annis
162,AnnMargret,F,R:sex symbol,Ann-Margret Olsson
163,Michael Ansara,M,R:Indian,Michael Ansara
164,Karen Anspach,F,RU:,
165,Susan Anspach,F,R:stage,Susan Anspach
166,Adam Ant,M,RU:,
167,Lysette Anthony,F,RU:,
168,Michael Anthony,M,RU:,
169,Susan Anton,F,RU:,
170,Laura Antonelli,F,RU:,
171,Lou Antonio,M,RU:,
172,Scott Antony,M,R:lead juvenile,Scott Antony
173,Aquanetta,F,R:exotic,Burnu Davenbort
174,Alfonso Arau,M,RU:,
175,Roscoe Abuckle,M,R:comic,Roscoe (Fatty) Arbuckle
176,Allan Arbus,M,RU:,
177,Anne Archer,F,R:lead,Anne Archer
178,Fanny Ardant,F,R:lead,Fanny Ardant
179,Eve Arden,F,"R:best, cool friend",Eunice Quedens
180,Carmen Argenziano,F,RU:,
181,Adam Arkin,M,RU:,
182,Alan Arkin,M,R:lead,Alan Arkin
183,David Arkin,M,RU:,
184,Richard Arlen,M,R:rugged hero,Cornelius van Mattemore
185,Arletty,F,R:world-weary,Leonie Bathiat
186,George Arliss,M,R:autocratic,George Augustus Andrews
187,Pedro Armendariz,M,R:expansive,Pedro Armendariz
188,Henry Armetta,M,"R:excitable, gesticulating foreigner",Henry Armetta
189,Bess Armstrong,F,R:lead,Bess Armstrong
190,Curtis Armstrong,M,RU:,
191,Louis Armstrong,M,R:black jazz musician,Louis `Satchmo' Armstrong
192,R.G. Armstrong,M,R:tough serious,R.G. Armstrong
193,Robert Armstrong,M,"R:tough cop, scientist",Donald Robert Smith
194,Todd Armstrong,M,R:stalwart lead,Todd Armstrong
195,Yvonne Arnaud,F,RU:,Yvonne Arnaud
196,Lucie Arnaz,F,R:lead,Lucie Arnaz
197,Desi Arnaz,M,R:diminutive explosive romantic,Desiderio Arnaz y de Acha
198,Desi Arnaz~jr.,M,R:juvenile lead,Desi Arnaz
199,Peter Arne,M,R:villain,Peter Arne Albrecht
200,James Arness,M,R:giant,James Aurness
201,Jeanetta Arnette,F,RU:,
202,Edward Arnold,M,R:dynamic rotund,Guenther Schneider
203,Mark Arnott,M,RU:,
204,Charles Arnt,M,"R:snoop, suspicious, or plain ordinary fellow",Charles Arnt
205,Rosanna Arquette,F,RU:,
206,Antonin Artaud,M,R:dabbling writer,Antonin Artaud
207,Beatrice Arthur,F,R:dominant comedy,Bernice Frankel
208,George K. Arthur,M,R:small but gamy,G.K.A. Brest
209,Jean Arthur,F,R:squeaky petite feminist,Gladys Greene
210,Linda Arvidson,F,R:lead,Linda Arvidson-Griffith
211,Leslie Ash,,RU:,
212,Peggy Ashcroft,F,R:royal,Dame Peggy Ashcroft
213,Jane Asher,F,R:lead,Jane Asher
214,Ren\`ee Asherson,F,RU:,Ren Asherson
215,Edward Ashley,M,R:third lead,E.A. Cooper
216,Elizabeth Ashley,F,R:cold sporadic,Elizabeth Cole
217,Jennifer Ashley,F,RU:,
218,John Ashley,M,RU:,
219,Gregoire Asian,,RU:,
220,Luke Askew,M,R:western,Luke Askew
221,Arthur Askey,M,R:diminutive,Arthur Askey
222,Ed Asner,M,R:chubby tough,Edward Asner
223,Chuck Aspegren,M,RU:,
224,Armand Assante,M,RU:,
225,Asta,A,R:wire-haired fox terrier,
226,Adele Astaire,M,RU:,
227,Fred Astaire,M,R:dancer,Frederick Austerlitz
228,Nils Asther,M,"R:suave, exotic",Nils Asther
229,John Astin,M,R:comic,John Astin
230,Patty Duke Astin,F,RU:,Patty Duke Astin
231,Gertrude Astor,F,R:silent screen,Gertrude Astor
232,Mary Astor,F,"R:solid, character",Lucille Langehanke
233,William Atherton,M,RU:,William Atherton
234,Christopher Atkins,M,R:juvenile lead,Christopher Atkins
235,Eileen Atkins,F,R:character,Eileen Atkins
236,Kiyoshi Atsumi,M,\Jp,Yasuo Tadoroko
237,Richard Attenborough,M,"R:coward, `wide range'",Sir Richard Attenborough
238,Malcolm Atterbury,M,R:character,Malcolm Atterbury
239,Edith Atwater,F,R:lead,Edith Atwater
240,Lionel Atwill,M,R:teutonic villains,Lionel Atwill
241,Kim Atwood,,RU:,
242,Brigitte Auber,F,RU:,
243,Rene Auberjonois,M,R:character,Ren\'e Auberjonois
244,Lenore Aubert,F,R:sinister,Leonore Aubert
245,Cecile Aubry,F,R:petit,Anne-Jes\`e Benard
246,Joss Auckland,M,RU:,
247,Michael Auclair,M,R:lead,Vladimir Vujovic
248,Maxine Audley,F,R:character,Maxine Audley
249,Stephane Audran,F,R:cool,St\'ephane Audran
250,Audrey,,RU:,
251,Mischa Auer,M,"R:wild, noble idiot",Mischa Ounskowsky
252,Claudine Auger,F,R:lead,Claudine Auger
253,Marie Ault,F,R:dialect comedy,Mary Cragg
254,JeanPierre Aumont,M,R:lead,Jean-Pierre Salomons
255,John Austin,M,RU:,
256,Daniel Auteuil,Daniel,199x,
257,Gene Autry,M,R:easy-going cowboy,Gene Autry
258,Frankie Avalon,M,R:light lead,Francis Avallone
259,Luis Avalos,M,RU:,
260,Doe Avedon,F,R:lead,Doe Avedon
261,Brian Avery,M,RU:,
262,Margaret Avery,F,RU:,
263,Nina Axelrod,F,RU:,
264,Hoyt Axton,M,RU:,
265,George Ayer,M,RU:,
266,Dan Aykroyd,M,R:comic lead,Dan Aykroyd
267,Felix Aylmer,M,"R:schoolmasters, bishops",Felix Edward Aylmer Jones
268,Agnes Ayres,F,R:silent lead,Agnes Hinkle
269,Gregg Ayres,M,RU:,
270,Lew Ayres,M,R:boyish lead,Lewis Ayer
271,Robert Ayres,M,"R:strong, silent",Robert Ayres
272,Randle Ayrton,M,R:character,Randle Ayrton
273,Shabana Azmi,F,RU:,
274,Charles Aznavour,M,R:small rugged lead,Shahnour Aznavurjan
275,Candy Azzara,F,RU:,
276,Hank Azaria,M,R:comic,
